Comment,Designator,JLCPCB Part #,Manufacturer Part Number
XC6206P252MR-G,B1,C6359651,XC6206P252MR-G
22p,"C1, C2",C76960,GRM1555C1H220JA01D
2.2n,C3,C126534,GCM155R71H222KA37D
4.7p,C4,C161327,GJM1555C1H4R7BB01D
1.5p,C5,C76900,GJM1555C1H1R5BB01D
1.0p,C6,C76898,GJM1555C1H1R0BB01D
33n,C7,C126535,GCM155R71H333KE02D
GRM158R61A226ME15D,"C8, C9, C10, C12, C13, C14, C16, C17, C18, C19, C20, C21, C22",C3845593,GRM158R61A226ME15D
4.7u,"C11, C15",C2858031,GRM155R61E475ME15D
100n,C23,C77008,GRM155R61E104KA87D
RED,"D1, D4, D7",C71911,16-213SDRC/S530-A3/TR8
GREEN,"D2, D6",C74338,16-213/GHC-YR1S1/3T
USBLC6-2SC6Y,D3,C2969755,USBLC6-2SC6Y
BLUE,D5,C131223,16-213/BHC-AN1P2/3T
MF-FSMF050X-2,F1,C210357,MF-FSMF050X-2
100 @ 100MHz,FB1,C87554,MPZ1608D101BTA00
10118194-0001LF,J1,C132563,10118194-0001LF
B2B-PH-K-S(LF)(SN),J2,C131337,B2B-PH-K-S(LF)(SN)
CON-SMA-EDGE-S,J3,C5301850,HYCW12-SMAW0863-1365B
SLW-104-01-F-S,J4,C2935898,DW254R-11-04-85
5000,"J5, J6, J7, J8, J9",C5199900,5000
8.2n,L1,C84404,LQW15AN8N2G00D
2.7n,L2,C91239,LQW15AN2N7B00D
3.9n,L3,C98062,LQW15AN3N9B00D
61301021121,P1,C5343117,61301021121
1M,R1,C26083,0402WGF1004TCE
22K,R2,C25768,0402WGF2202TCE
10K,"R3, R11, R12, R16, R17",C25744,0402WGF1002TCE
2K,"R4, R9, R13",C4109,0402WGF2001TCE
1K,R5,C11702,0402WGF1001TCE
470,"R6, R7, R8",C25117,0402WGF4700TCE
20K,R10,C25765,0402WGF2002TCE
3.3K,"R14, R15",C25890,0402WGF3301TCE
100,R18,C25076,0402WGF1000TCE
B3U-1000P,SW1,C231329,B3U-1000P
B3U-3000P,SW2,C963349,B3U-3000P
PCM12SMTR,SW3,C221841,PCM12SMTR
STM32L432KBU6,U1,C94784,STM32L432KBU6
MCP73871T-2CCI/ML,U2,C511310,MCP73871T-2CCI/ML
NRF24L01P-R,U3,C8791,NRF24L01P-R
BME280,U4,C92489,BME280
7M16000017,Y1,C90904,7M16000017
