Designator,Mid X,Mid Y,Layer,Rotation
C23,102.8585,73.1951,Top,180
J9,103.687,76.173,Top,0
J8,102.9283,79.8425,Top,0
J7,94.689,77.9451,Top,0
J6,111.245,80.628,Top,0
J5,96.7696,75.7568,Top,0
SW3,116.8592,85.4213,Top,180
SW2,97.3876,60.457,Top,0
R18,100.9553,60.3629,Top,180
C16,114.5,77.2,Top,0
D1,109.1,76.4,Top,180
Y1,123.19,65.778,Top,0
U4,117.912,80.282,Top,0
U3,122.005,73.956,Top,0
U2,100,82.25,Top,180
U1,113.665,73.66,Top,270
SW1,97.2834,66.1389,Top,0
R17,96.6,78.2,Top,270
R16,114.8,79.2,Top,0
R15,123.4,83.1,Top,180
R14,127,83.1,Top,0
R13,98.2,69.9,Top,0
R12,98.9,85.6,Top,0
R11,103.9,82.8,Top,90
R10,96.4,85.5,Top,270
R9,96.4,83,Top,90
R8,107.4,84.1,Top,0
R7,107.4,85.7,Top,0
R6,107.4,82.5,Top,0
R5,106.5,74.7,Top,0
R4,106.5,76.4,Top,0
R3,118,76.5,Top,270
R2,122.8,79.7,Top,270
R1,123.063,68.826,Top,0
P1,109,63.2,Top,180
L3,128.659,74.549,Top,0
L2,128.143,72.382,Top,270
L1,126.492,73.541,Top,90
J4,127.73,85.3,Top,180
J3,137.668,74.549,Top,0
J2,92.55,83,Top,90
J1,92.939,72.879,Top,270
FB1,104.961,80.6698,Top,0
F1,98.4,77.475,Top,90
D7,100.8,69.9,Top,180
D6,110,84.1,Top,180
D5,110,85.7,Top,180
D4,110,82.5,Top,180
D3,99.4,73.2,Top,0
D2,109.1,74.7,Top,180
C22,115.571,81.2559,Top,180
C21,115.5788,80.1283,Top,180
C20,121.425,70.8,Top,0
C19,123.9,77.4,Top,90
C18,121.92,77.47,Top,90
C17,105.5,78.3,Top,270
C15,100.5,76.6,Top,180
C14,112.3132,79.2535,Top,270
C13,92.6,78.9,Top,270
C12,103.6,78.3,Top,270
C11,100.5,78.5,Top,180
C10,111.285,69.977,Top,180
C9,113,77.5,Top,90
C8,116.3,77.2,Top,0
C7,120.1,77.1,Top,0
C6,133.223,75.057,Top,270
C5,131.191,74.549,Top,180
C4,130.196,70.3487,Top,180
C3,130.167,71.882,Top,180
C2,126.619,65.778,Top,90
C1,123.3,62.9,Top,180
B1,108.4,79.75,Top,180
